user_id,sample_interval_min,interpolation_method,mode,num_points
anupwr,5,nearest,taxi,707
apigcy,5,linear,taxi,6046
apigcy,5,nearest,taxi,1421
appsri,5,linear,taxi,6044
appsri,5,nearest,taxi,852
apssky,5,linear,taxi,6047
apssky,5,nearest,taxi,1221
aquawa,5,linear,taxi,6045
aquawa,5,nearest,taxi,1336
arcksy,5,linear,taxi,6046
arcksy,5,nearest,taxi,1479
arcuim,5,linear,taxi,6041
arcuim,5,nearest,taxi,910
arcurb,5,linear,taxi,6044
arcurb,5,nearest,taxi,1125
arhilb,5,linear,taxi,6045
arhilb,5,nearest,taxi,1170
arlwra,5,linear,taxi,6044
arlwra,5,nearest,taxi,893
arphau,5,linear,taxi,6047
arphau,5,nearest,taxi,1364
artgag,5,linear,taxi,5399
artgag,5,nearest,taxi,1473
ascley,5,linear,taxi,5972
ascley,5,nearest,taxi,1248
ashgat,5,linear,taxi,2883
ashgat,5,nearest,taxi,760
asigno,5,linear,taxi,6046
asigno,5,nearest,taxi,1280
askmec,5,linear,taxi,6044
askmec,5,nearest,taxi,866
aslagn,5,linear,taxi,6024
aslagn,5,nearest,taxi,699
aswift,5,linear,taxi,6047
aswift,5,nearest,taxi,1312
atcila,5,linear,taxi,6047
atcila,5,nearest,taxi,1181
atfrav,5,linear,taxi,4516
atfrav,5,nearest,taxi,540
atfrim,5,linear,taxi,6041
atfrim,5,nearest,taxi,907
atidfi,5,linear,taxi,6046
atidfi,5,nearest,taxi,1338
atnokv,5,linear,taxi,6038
atnokv,5,nearest,taxi,790
atsfiv,5,linear,taxi,998
atsfiv,5,nearest,taxi,128
atzumb,5,linear,taxi,6045
atzumb,5,nearest,taxi,1093
aucjun,5,linear,taxi,4931
aucjun,5,nearest,taxi,374
auctji,5,linear,taxi,6047
auctji,5,nearest,taxi,1102
aupcli,5,linear,taxi,1635
aupcli,5,nearest,taxi,145
aurjye,5,linear,taxi,6047
aurjye,5,nearest,taxi,666
avdyab,5,linear,taxi,6047
avdyab,5,nearest,taxi,1079
avglyb,5,linear,taxi,6046
avglyb,5,nearest,taxi,530
aviltl,5,linear,taxi,6040
aviltl,5,nearest,taxi,1043
avpavi,5,linear,taxi,6047
avpavi,5,nearest,taxi,1108
awnbeb,5,linear,taxi,5930
awnbeb,5,nearest,taxi,855
awrenb,5,linear,taxi,6041
awrenb,5,nearest,taxi,1449
awribi,5,linear,taxi,5791
awribi,5,nearest,taxi,1107
aydwah,5,linear,taxi,5812
aydwah,5,nearest,taxi,1445
ayfsdu,5,linear,taxi,6046
ayfsdu,5,nearest,taxi,1273
aygpha,5,linear,taxi,5572
aygpha,5,nearest,taxi,1105
aypudb,5,linear,taxi,6039
aypudb,5,nearest,taxi,1320
ayquas,5,linear,taxi,5558
ayquas,5,nearest,taxi,1207
ayquex,5,linear,taxi,6043
ayquex,5,nearest,taxi,1349
ayshek,5,linear,taxi,6047
ayshek,5,nearest,taxi,1089
ayshow,5,linear,taxi,6047
ayshow,5,nearest,taxi,48
aysmsl,5,linear,taxi,6046
aysmsl,5,nearest,taxi,1381
eacder,5,linear,taxi,6038
eacder,5,nearest,taxi,863
eadect,5,linear,taxi,6046
eadect,5,nearest,taxi,585
eagbac,5,linear,taxi,5450
eagbac,5,nearest,taxi,562
eapceo,5,linear,taxi,6047
eapceo,5,nearest,taxi,1577
easnsv,5,linear,taxi,6043
easnsv,5,nearest,taxi,418
eavcai,5,linear,taxi,6040
eavcai,5,nearest,taxi,1293
eavfli,5,linear,taxi,6028
eavfli,5,nearest,taxi,1397
ebcicy,5,linear,taxi,6046
ebcicy,5,nearest,taxi,1076
ebdafy,5,linear,taxi,6047
ebdafy,5,nearest,taxi,1346
ebenfr,5,linear,taxi,6045
ebenfr,5,nearest,taxi,839
ebrulr,5,linear,taxi,6047
ebrulr,5,nearest,taxi,568
ebstic,5,linear,taxi,6046
ebstic,5,nearest,taxi,750
eccest,5,linear,taxi,6044
eccest,5,nearest,taxi,1059
ecdiwo,5,linear,taxi,6045
ecdiwo,5,nearest,taxi,1063
ecfesy,5,linear,taxi,6046
ecfesy,5,nearest,taxi,1452
ecforj,5,linear,taxi,6040
ecforj,5,nearest,taxi,887
ecgojt,5,linear,taxi,6045
ecgojt,5,nearest,taxi,1214
ecjeod,5,linear,taxi,6046
ecjeod,5,nearest,taxi,1025
eckeck,5,linear,taxi,5121
eckeck,5,nearest,taxi,803
ecnopl,5,linear,taxi,6040
ecnopl,5,nearest,taxi,1317
eddreb,5,linear,taxi,6038
eddreb,5,nearest,taxi,1179
edeejd,5,linear,taxi,6046
edeejd,5,nearest,taxi,996
edglev,5,linear,taxi,6046
edglev,5,nearest,taxi,1186
edgrat,5,linear,taxi,6047
edgrat,5,nearest,taxi,1424
edjiye,5,linear,taxi,6047
edjiye,5,nearest,taxi,1342
edlyxy,5,linear,taxi,6047
edlyxy,5,nearest,taxi,1263
edmugr,5,linear,taxi,6005
edmugr,5,nearest,taxi,1245
ednill,5,linear,taxi,6043
ednill,5,nearest,taxi,1426
edodbl,5,linear,taxi,6046
edodbl,5,nearest,taxi,1187
edombo,5,linear,taxi,738
edombo,5,nearest,taxi,149
edrafs,5,linear,taxi,858
edrafs,5,nearest,taxi,268
eedigk,5,linear,taxi,6045
eedigk,5,nearest,taxi,1131
eefayb,5,linear,taxi,6039
eefayb,5,nearest,taxi,947
eegcef,5,linear,taxi,5772
eegcef,5,nearest,taxi,1052
eemafb,5,linear,taxi,6038
eemafb,5,nearest,taxi,289
eenjou,5,linear,taxi,6045
eenjou,5,nearest,taxi,1050
eersdo,5,linear,taxi,6047
eersdo,5,nearest,taxi,1340
eesbaj,5,linear,taxi,6046
eesbaj,5,nearest,taxi,1282
efcati,5,linear,taxi,5940
efcati,5,nearest,taxi,1319
effneo,5,linear,taxi,6047
effneo,5,nearest,taxi,1205
efghak,5,linear,taxi,6044
efghak,5,nearest,taxi,911
efgoak,5,linear,taxi,6046
efgoak,5,nearest,taxi,1456
efmymo,5,linear,taxi,969
efmymo,5,nearest,taxi,221
efonve,5,linear,taxi,6019
efonve,5,nearest,taxi,1515
efsphe,5,linear,taxi,5943
efsphe,5,nearest,taxi,716
eggfri,5,linear,taxi,6046
eggfri,5,nearest,taxi,1214
eghanw,5,linear,taxi,5427
eghanw,5,nearest,taxi,1009
egloha,5,linear,taxi,6042
egloha,5,nearest,taxi,826
egnata,5,linear,taxi,6047
egnata,5,nearest,taxi,1325
egreos,5,linear,taxi,6047
egreos,5,nearest,taxi,352
egteir,5,linear,taxi,4908
egteir,5,nearest,taxi,848
egwicj,5,linear,taxi,6044
egwicj,5,nearest,taxi,317
eiboid,5,linear,taxi,6047
eiboid,5,nearest,taxi,834
eicmyn,5,linear,taxi,6009
eicmyn,5,nearest,taxi,358
eifvid,5,linear,taxi,6047
eifvid,5,nearest,taxi,1166
eincuf,5,linear,taxi,5676
eincuf,5,nearest,taxi,242
eitpem,5,linear,taxi,5338
eitpem,5,nearest,taxi,464
ejcrur,5,linear,taxi,6047
ejcrur,5,nearest,taxi,745
ejesba,5,linear,taxi,6047
ejesba,5,nearest,taxi,800
ejkipu,5,linear,taxi,6035
ejkipu,5,nearest,taxi,764
ejnoax,5,linear,taxi,6043
ejnoax,5,nearest,taxi,824
ejshig,5,linear,taxi,6043
ejshig,5,nearest,taxi,1704
ejtobu,5,linear,taxi,6046
ejtobu,5,nearest,taxi,1455
ekenuc,5,linear,taxi,6047
ekenuc,5,nearest,taxi,1016
ekfrab,5,linear,taxi,5979
ekfrab,5,nearest,taxi,566
ektamy,5,linear,taxi,6044
ektamy,5,nearest,taxi,1681
ektuyo,5,linear,taxi,6043
ektuyo,5,nearest,taxi,887
ekyosj,5,linear,taxi,6041
ekyosj,5,nearest,taxi,1355
elafle,5,linear,taxi,6047
elafle,5,nearest,taxi,1251
elbnax,5,linear,taxi,6047
elbnax,5,nearest,taxi,1341
elfyea,5,linear,taxi,6045
elfyea,5,nearest,taxi,1192
elhuyo,5,linear,taxi,1595
elhuyo,5,nearest,taxi,229
ellimt,5,linear,taxi,6045
ellimt,5,nearest,taxi,900
elswck,5,linear,taxi,6041
elswck,5,nearest,taxi,1159
elvgid,5,linear,taxi,1137
elvgid,5,nearest,taxi,180
elwesn,5,linear,taxi,6045
elwesn,5,nearest,taxi,1023
enarwe,5,linear,taxi,5963
enarwe,5,nearest,taxi,1233
enekbl,5,linear,taxi,6045
enekbl,5,nearest,taxi,1336
enidmo,5,linear,taxi,5970
enidmo,5,nearest,taxi,773
enjubp,5,linear,taxi,6044
enjubp,5,nearest,taxi,1001
enkkan,5,linear,taxi,6045
enkkan,5,nearest,taxi,1465
enyene,5,linear,taxi,970
enyene,5,nearest,taxi,92
enyons,5,linear,taxi,6046
enyons,5,nearest,taxi,1477
eoccoi,5,linear,taxi,5926
eoccoi,5,nearest,taxi,1123
eoffri,5,linear,taxi,6046
eoffri,5,nearest,taxi,1355
eoivqu,5,linear,taxi,6047
eoivqu,5,nearest,taxi,518
eokrac,5,linear,taxi,6039
eokrac,5,nearest,taxi,1294
eolgug,5,linear,taxi,6044
eolgug,5,nearest,taxi,982
eoslui,5,linear,taxi,5954
eoslui,5,nearest,taxi,1533
eotcue,5,linear,taxi,7
eovsyt,5,linear,taxi,6047
eovsyt,5,nearest,taxi,949
eoydba,5,linear,taxi,3658
eoydba,5,nearest,taxi,450
epabca,5,linear,taxi,6047
epabca,5,nearest,taxi,1742
epemva,5,linear,taxi,6045
epemva,5,nearest,taxi,1538
epkiap,5,linear,taxi,6047
epkiap,5,nearest,taxi,1206
equioc,5,linear,taxi,6046
equioc,5,nearest,taxi,1329
equoaw,5,linear,taxi,6045
equoaw,5,nearest,taxi,997
erjboy,5,linear,taxi,6045
erjboy,5,nearest,taxi,1315
erjcre,5,linear,taxi,6027
erjcre,5,nearest,taxi,1400
erjtai,5,linear,taxi,6047
erjtai,5,nearest,taxi,870
erulgh,5,linear,taxi,6047
erulgh,5,nearest,taxi,1321
erwumu,5,linear,taxi,6037
erwumu,5,nearest,taxi,1320
eryeig,5,linear,taxi,6046
eryeig,5,nearest,taxi,1213
eshria,5,linear,taxi,6047
eshria,5,nearest,taxi,1086
eshroa,5,linear,taxi,6047
eshroa,5,nearest,taxi,1309
esnddc,5,linear,taxi,6047
esnddc,5,nearest,taxi,1316
esudce,5,linear,taxi,6045
esudce,5,nearest,taxi,1177
etalra,5,linear,taxi,6032
etalra,5,nearest,taxi,716
etirnf,5,linear,taxi,951
etirnf,5,nearest,taxi,63
etnads,5,linear,taxi,6044
etnads,5,nearest,taxi,1524
eufdod,5,linear,taxi,6021
eufdod,5,nearest,taxi,957
evbacc,5,linear,taxi,5995
evbacc,5,nearest,taxi,1372
evdyff,5,linear,taxi,6046
evdyff,5,nearest,taxi,1210
evfler,5,linear,taxi,5722
evfler,5,nearest,taxi,328
evijce,5,linear,taxi,6013
evijce,5,nearest,taxi,114
evjoko,5,linear,taxi,6047
evjoko,5,nearest,taxi,1200
evmaja,5,linear,taxi,6045
evmaja,5,nearest,taxi,464
evtitd,5,linear,taxi,6046
evtitd,5,nearest,taxi,1488
ewbglo,5,linear,taxi,6044
ewbglo,5,nearest,taxi,853
ewedkl,5,linear,taxi,6046
ewedkl,5,nearest,taxi,769
ewufri,5,linear,taxi,6047
ewufri,5,nearest,taxi,1201
ewvnil,5,linear,taxi,6045
ewvnil,5,nearest,taxi,1015
exskaf,5,linear,taxi,6047
exskaf,5,nearest,taxi,1189
eybmij,5,linear,taxi,6045
eybmij,5,nearest,taxi,1146
eybyay,5,linear,taxi,6041
eybyay,5,nearest,taxi,1238
eydadg,5,linear,taxi,727
eydadg,5,nearest,taxi,56
eytups,5,linear,taxi,6047
eytups,5,nearest,taxi,908
iacbyb,5,linear,taxi,5956
iacbyb,5,nearest,taxi,406
iackaw,5,linear,taxi,6046
iackaw,5,nearest,taxi,1338
iafbag,5,linear,taxi,5685
iafbag,5,nearest,taxi,1032
iafstn,5,linear,taxi,6046
iafstn,5,nearest,taxi,1123
iaggri,5,linear,taxi,6043
iaggri,5,nearest,taxi,618
iagods,5,linear,taxi,849
iagods,5,nearest,taxi,149
iahoro,5,linear,taxi,6041
iahoro,5,nearest,taxi,631
iapber,5,linear,taxi,5814
iapber,5,nearest,taxi,1005
iatmeu,5,linear,taxi,6041
iatmeu,5,nearest,taxi,327
iatojb,5,linear,taxi,6047
iatojb,5,nearest,taxi,1093
iawxbe,5,linear,taxi,6045
iawxbe,5,nearest,taxi,594
ibflsr,5,linear,taxi,6047
ibflsr,5,nearest,taxi,1295
ibgryk,5,linear,taxi,6042
ibgryk,5,nearest,taxi,974
iblool,5,linear,taxi,6044
iblool,5,nearest,taxi,1091
ibpijd,5,linear,taxi,6046
ibpijd,5,nearest,taxi,1362
ibwici,5,linear,taxi,6041
ibwici,5,nearest,taxi,761
icagpo,5,linear,taxi,6044
icagpo,5,nearest,taxi,1315
icdahe,5,linear,taxi,937
icdahe,5,nearest,taxi,129
icdapn,5,linear,taxi,6047
icdapn,5,nearest,taxi,897
icdult,5,linear,taxi,4415
icdult,5,nearest,taxi,326
icedpa,5,linear,taxi,6045
icedpa,5,nearest,taxi,790
ichank,5,linear,taxi,5979
ichank,5,nearest,taxi,674
ichiki,5,linear,taxi,6047
ichiki,5,nearest,taxi,1091
ickguw,5,linear,taxi,6045
ickguw,5,nearest,taxi,1380
ickphi,5,linear,taxi,6046
ickphi,5,nearest,taxi,998
ickviy,5,linear,taxi,6046
ickviy,5,nearest,taxi,1155
icodmu,5,linear,taxi,6047
icodmu,5,nearest,taxi,346
ictlyp,5,linear,taxi,6044
ictlyp,5,nearest,taxi,625
ictmuo,5,linear,taxi,5298
ictmuo,5,nearest,taxi,381
icwiro,5,linear,taxi,6046
icwiro,5,nearest,taxi,1409
idbayb,5,linear,taxi,6046
idbayb,5,nearest,taxi,865
idcadg,5,linear,taxi,6042
idcadg,5,nearest,taxi,632
ideutg,5,linear,taxi,6045
ideutg,5,nearest,taxi,1322
idholv,5,linear,taxi,6044
idholv,5,nearest,taxi,1483
idjoat,5,linear,taxi,288
idjoat,5,nearest,taxi,77
idjojw,5,linear,taxi,4367
idjojw,5,nearest,taxi,162
idjokv,5,linear,taxi,6046
idjokv,5,nearest,taxi,1214
idlorr,5,linear,taxi,6039
idlorr,5,nearest,taxi,1121
idodly,5,linear,taxi,6036
idodly,5,nearest,taxi,1206
idshyw,5,linear,taxi,5944
idshyw,5,nearest,taxi,1129
idsmuk,5,linear,taxi,6045
idsmuk,5,nearest,taxi,990
idtwal,5,linear,taxi,622
idtwal,5,nearest,taxi,158
idvoww,5,linear,taxi,6046
idvoww,5,nearest,taxi,1251
ifanfa,5,linear,taxi,5952
ifanfa,5,nearest,taxi,529
ifefro,5,linear,taxi,5374
ifefro,5,nearest,taxi,656
ifelas,5,linear,taxi,6045
ifelas,5,nearest,taxi,1025
ifeshc,5,linear,taxi,60
ifeshc,5,nearest,taxi,10
ifkald,5,linear,taxi,6047
ifkald,5,nearest,taxi,910
ifragc,5,linear,taxi,5962
ifragc,5,nearest,taxi,1141
igglit,5,linear,taxi,6047
igglit,5,nearest,taxi,866
igsoys,5,linear,taxi,6046
igsoys,5,nearest,taxi,1217
igvidt,5,linear,taxi,6041
igvidt,5,nearest,taxi,1240
ijcoga,5,linear,taxi,6044
ijcoga,5,nearest,taxi,1659
ijdeyd,5,linear,taxi,6047
ijdeyd,5,nearest,taxi,1203
ijhigo,5,linear,taxi,6045
ijhigo,5,nearest,taxi,1052
ijhipv,5,linear,taxi,6047
ijhipv,5,nearest,taxi,1266
ijpiaw,5,linear,taxi,6046
ijpiaw,5,nearest,taxi,1241
ijpruk,5,linear,taxi,6045
ijpruk,5,nearest,taxi,1337
ijthin,5,linear,taxi,5984
ijthin,5,nearest,taxi,599
ijtowh,5,linear,taxi,6046
ijtowh,5,nearest,taxi,1156
ikdagc,5,linear,taxi,6010
ikdagc,5,nearest,taxi,804
ikkimm,5,linear,taxi,6041
ikkimm,5,nearest,taxi,1514
ikujfu,5,linear,taxi,6045
ikujfu,5,nearest,taxi,1326
ilcoby,5,linear,taxi,6045
ilcoby,5,nearest,taxi,901
ilkble,5,linear,taxi,6046
ilkble,5,nearest,taxi,749
ilkedv,5,linear,taxi,6043
ilkedv,5,nearest,taxi,1029
ilyutj,5,linear,taxi,6046
ilyutj,5,nearest,taxi,1481
imhacy,5,linear,taxi,5731
imhacy,5,nearest,taxi,311
imnees,5,linear,taxi,6038
imnees,5,nearest,taxi,895
imoikc,5,linear,taxi,6047
imoikc,5,nearest,taxi,1268
imwryt,5,linear,taxi,6047
imwryt,5,nearest,taxi,1011
imwyoj,5,linear,taxi,6046
imwyoj,5,nearest,taxi,1687
inckki,5,linear,taxi,6043
inckki,5,nearest,taxi,1082
indtwr,5,linear,taxi,6045
indtwr,5,nearest,taxi,856
indyep,5,linear,taxi,6034
indyep,5,nearest,taxi,1349
inghog,5,linear,taxi,6045
inghog,5,nearest,taxi,1146
inghot,5,linear,taxi,6045
inghot,5,nearest,taxi,832
inhial,5,linear,taxi,3732
inhial,5,nearest,taxi,273
inlica,5,linear,taxi,6045
inlica,5,nearest,taxi,1029
inquay,5,linear,taxi,6042
inquay,5,nearest,taxi,1329
inshfo,5,linear,taxi,1246
inshfo,5,nearest,taxi,147
insodf,5,linear,taxi,6046
insodf,5,nearest,taxi,980
ioajdi,5,linear,taxi,6042
ioajdi,5,nearest,taxi,1549
ioangi,5,linear,taxi,5798
ioangi,5,nearest,taxi,1036
iodjie,5,linear,taxi,6044
iodjie,5,nearest,taxi,1271
iodlac,5,linear,taxi,5670
iodlac,5,nearest,taxi,1337
iofpli,5,linear,taxi,6042
iofpli,5,nearest,taxi,815
ioivkn,5,linear,taxi,5997
ioivkn,5,nearest,taxi,542
iorjtw,5,linear,taxi,6046
iorjtw,5,nearest,taxi,1277
iotklo,5,linear,taxi,6047
iotklo,5,nearest,taxi,1205
iovhar,5,linear,taxi,6046
iovhar,5,nearest,taxi,1189
iovlit,5,linear,taxi,6044
iovlit,5,nearest,taxi,1380
ioytgo,5,linear,taxi,6022
ioytgo,5,nearest,taxi,732
ipdioi,5,linear,taxi,6045
ipdioi,5,nearest,taxi,1284
ipdraw,5,linear,taxi,625
ipdraw,5,nearest,taxi,155
iphesp,5,linear,taxi,6040
iphesp,5,nearest,taxi,565
iphybc,5,linear,taxi,6045
iphybc,5,nearest,taxi,1156
ipjier,5,linear,taxi,6047
ipjier,5,nearest,taxi,891
ippfei,5,linear,taxi,4683
ippfei,5,nearest,taxi,1208
irjfen,5,linear,taxi,6043
irjfen,5,nearest,taxi,1228
isekdy,5,linear,taxi,6046
isekdy,5,nearest,taxi,1094
isfikt,5,linear,taxi,6045
isfikt,5,nearest,taxi,770
ishvir,5,linear,taxi,6047
ishvir,5,nearest,taxi,1334
isnthl,5,linear,taxi,1921
isnthl,5,nearest,taxi,236
ispaww,5,linear,taxi,6046
ispaww,5,nearest,taxi,1433
isvayd,5,linear,taxi,6031
isvayd,5,nearest,taxi,590
itacfl,5,linear,taxi,6047
itacfl,5,nearest,taxi,1459
itbadp,5,linear,taxi,6047
itbadp,5,nearest,taxi,1261
itbejs,5,linear,taxi,5966
itbejs,5,nearest,taxi,1062
itcemr,5,linear,taxi,5819
itcemr,5,nearest,taxi,1118
ithpet,5,linear,taxi,6040
ithpet,5,nearest,taxi,561
itmeps,5,linear,taxi,5873
itmeps,5,nearest,taxi,685
itpivo,5,linear,taxi,6038
itpivo,5,nearest,taxi,1203
itquir,5,linear,taxi,6047
itquir,5,nearest,taxi,1166
ivheoo,5,linear,taxi,6045
ivheoo,5,nearest,taxi,1083
ivkock,5,linear,taxi,6047
ivkock,5,nearest,taxi,1246
izowcu,5,linear,taxi,5961
izowcu,5,nearest,taxi,459
oadwow,5,linear,taxi,477
oadwow,5,nearest,taxi,188
oafhyn,5,linear,taxi,5993
oafhyn,5,nearest,taxi,1250
oahudf,5,linear,taxi,5953
oahudf,5,nearest,taxi,1582
oakpik,5,linear,taxi,5962
oakpik,5,nearest,taxi,920
oapwyc,5,linear,taxi,6044
oapwyc,5,nearest,taxi,1371
oasthu,5,linear,taxi,5840
oasthu,5,nearest,taxi,546
obacva,5,linear,taxi,6046
obacva,5,nearest,taxi,1195
obceoo,5,linear,taxi,6046
obceoo,5,nearest,taxi,753
obheuj,5,linear,taxi,6047
obheuj,5,nearest,taxi,1177
objoyh,5,linear,taxi,91
objoyh,5,nearest,taxi,21
oblyag,5,linear,taxi,6046
oblyag,5,nearest,taxi,1426
obsimj,5,linear,taxi,6047
obsimj,5,nearest,taxi,1346
occeyd,5,linear,taxi,6045
occeyd,5,nearest,taxi,758
occrok,5,linear,taxi,6046
occrok,5,nearest,taxi,1074
ochotc,5,linear,taxi,6044
ochotc,5,nearest,taxi,894
ochtin,5,linear,taxi,6042
ochtin,5,nearest,taxi,673
ocjeng,5,linear,taxi,6045
ocjeng,5,nearest,taxi,1238
ockiho,5,linear,taxi,6046
ockiho,5,nearest,taxi,1421
ockoac,5,linear,taxi,2608
ockoac,5,nearest,taxi,458
ockolr,5,linear,taxi,4989
ockolr,5,nearest,taxi,1338
ocshit,5,linear,taxi,6045
ocshit,5,nearest,taxi,1068
ocwyit,5,linear,taxi,6033
ocwyit,5,nearest,taxi,754
odklob,5,linear,taxi,6046
odklob,5,nearest,taxi,656
odlorh,5,linear,taxi,6044
odlorh,5,nearest,taxi,1298
odocje,5,linear,taxi,6043
odocje,5,nearest,taxi,1114
odolfe,5,linear,taxi,6047
odolfe,5,nearest,taxi,782
odoywu,5,linear,taxi,6047
odoywu,5,nearest,taxi,730
odscix,5,linear,taxi,6045
odscix,5,nearest,taxi,657
ofikco,5,linear,taxi,6045
ofikco,5,nearest,taxi,1709
ofjeeq,5,linear,taxi,6047
ofjeeq,5,nearest,taxi,1159
ofodwo,5,linear,taxi,6046
ofodwo,5,nearest,taxi,1011
ogawje,5,linear,taxi,5776
ogawje,5,nearest,taxi,1165
ogdygd,5,linear,taxi,5792
ogdygd,5,nearest,taxi,1279
oggluv,5,linear,taxi,5868
oggluv,5,nearest,taxi,533
ogijtr,5,linear,taxi,6046
ogijtr,5,nearest,taxi,1251
ogikli,5,linear,taxi,6043
ogikli,5,nearest,taxi,1236
ogjoch,5,linear,taxi,6047
ogjoch,5,nearest,taxi,1376
ognoww,5,linear,taxi,6023
ognoww,5,nearest,taxi,1197
ogofvo,5,linear,taxi,2791
ogofvo,5,nearest,taxi,787
ogphag,5,linear,taxi,6045
ogphag,5,nearest,taxi,1333
ogshtc,5,linear,taxi,6047
ogshtc,5,nearest,taxi,1332
ogurju,5,linear,taxi,6046
ogurju,5,nearest,taxi,1130
oiphye,5,linear,taxi,5864
oiphye,5,nearest,taxi,1006
oipial,5,linear,taxi,6037
oipial,5,nearest,taxi,1376
oirzgo,5,linear,taxi,5958
oirzgo,5,nearest,taxi,888
oivnab,5,linear,taxi,6033
oivnab,5,nearest,taxi,1167
ojachm,5,linear,taxi,6040
ojachm,5,nearest,taxi,1228
ojbaso,5,linear,taxi,6044
ojbaso,5,nearest,taxi,1259
ojfann,5,linear,taxi,6047
